"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"@HOLE0,@HOLE5,@HOLE1,@HOLE2,@HOLE3,@HOLE4";"";6;"";;;
2;"FD1,FD2,FD3,FD4";"FIDUCIA-MOUNT";4;"FIDUCIALMOUNT";;;
3;"C3,C6,C2,C5,C4,C8,C9,C7,C12,C11";"C0603-ROUND";10;"100n";;;
4;"C1,C14,C15";"C0603-ROUND";3;"22p";;;
5;"C13,C10";"C0603-ROUND";2;"1u";;;
6;"F1";"L1812";1;"MF-MSMF050-2 500mA";;;
7;"Z1,Z2";"CT%2fCN0603";2;"CG0603MLC-05E";;;
8;"R1,R2";"R0603-ROUND";2;"1M";;;
9;"RN4,RN3";"CAY16";2;"1k";;;
10;"RN5,RN1";"CAT16";2;"10K";;;
11;"RN2";"CAY16";1;"22R";;;
12;"U$1";"DISCLAIMER";1;"DISCLAIMER";;;
13;"GROUND31,RESET-EN31";"SJ";2;"~";;;
14;"TX31,RX31,L31";"CHIP-LED0805";3;"YELLOW";;;
15;"ADCH31,POWER31,ADCL31,PWML31,COMMUNICATION31";"1X08";5;"8x1F-H8.5";;;
16;"X2";"PN61729";1;"USB-B_TH";;;
17;"JP6";"1X10";1;"10x1F-H8.5";;;
18;"D3,D2";"MINIMELF";2;"CD1206-S01575";;;
19;"JP5";"2X02";1;"2x2M - NM";;;
20;"IC7";"MSOP08";1;"LMV358IDGKR";;;
21;"XIO31";"2X18";1;"18x2F-H8.5";;;
22;"Y2";"QS";1;"16MHz";;;
23;"RESET31";"TS42";1;"TS42031-160R-TR-7260";;;
24;"ICSP1_31,ICSP_31";"2X03";2;"3x2M";;;
25;"IC6";"SOT23-DBV";1;"LP2985-33DBVR";;;
26;"L1";"0805";1;"BLM21";;;
27;"IC4";"MLF32";1;"ATMEGA16U2-MU";;;
28;"IC3";"TQFP100";1;"ATMEGA2560-16AU";;;
29;"IC1";"SOT223";1;"NCP1117ST50T3G";;;
30;"D1";"SMB";1;"M7";;;
31;"ON31";"CHIP-LED0805";1;"GREEN";;;
32;"X1";"POWERSUPPLY_DC-21MM";1;"POWERSUPPLY_DC21MMX";;;
33;"T1";"SOT-23";1;"FDN340P";;;
34;"PC1,PC2";"PANASONIC_D";2;"47u";;;
35;"Y1";"RESONATOR";1;"CSTCE16M0V53-R0 16MHZ";;;
