"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U1,U3,U4,U2";"WEMOS_D1_mini_light";4;"WeMos_D1_mini";;;
2;"J5";"TerminalBlock_RND_205-00018_1x08_P5.00mm_Horizontal";1;"Conn_01x08_Pin R";;;
3;"R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"R";;;
4;"J6";"PinHeader_1x05_P2.54mm_Vertical";1;"Conn_01x05_Pin3.3v";;;
5;"SW1";"SW_PUSH_6mm_H5mm";1;"SW_Push";;;
6;"J7";"PinHeader_1x08_P2.54mm_Vertical";1;"Conn_01x08_Pin R";;;
7;"D1";"LED_D5.0mm";1;"LED";;;
8;"J3";"TerminalBlock_RND_205-00018_1x08_P5.00mm_Horizontal";1;"Conn_01x08_Pin L";;;
9;"J1";"PinHeader_1x08_P2.54mm_Vertical";1;"Conn_01x08_Pin L";;;
10;"J4";"PinHeader_1x05_P2.54mm_Vertical";1;"Conn_01x05_Pin 5v";;;
11;"J2";"PinHeader_1x05_P2.54mm_Vertical";1;"Conn_01x05_Pin G";;;
