"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1";"C_0402_1005Metric";1;"1u";;;
2;"C2, C3, C4, C6, C9, C10";"C_0402_1005Metric";6;"100n";;;
3;"C5, C7, C8";"CP_EIA-3216-10_Kemet-I";3;"22u";;;
4;"D1";"SOT-143";1;"SP0503BAHT";;;
5;"D2";"LED_0402_1005Metric";1;"LED";;;
6;"J1";"USB_C_Receptacle_G-Switch_GT-USB-7010ASV";1;"USB_C_Receptacle_USB2.0";;;
7;"Q1, Q2";"SOT-23W";2;"SS8050";;;
8;"R1, R4, R5, R7";"R_0402_1005Metric";4;"10k";;;
9;"R2, R3, R8";"R_0402_1005Metric";3;"5.1k";;;
10;"R6";"R_0402_1005Metric";1;"2k";;;
11;"SW1, SW2";"SW_Push_SPST_NO_Alps_SKRK";2;"SW_Push";;;
12;"U1";"QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm";1;"CP2102N-Axx-xQFN28";;;
13;"U2";"ESP32-WROOM-32E";1;"ESP32-WROOM-E";;;
14;"U3";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
15;"U4";"ESP32-DevKitC";1;"ESP32-DevKitC";;;
