"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J10";"Hirose_DF11-6DP-2DSA_2x03_P2.00mm_Vertical";1;"ICSP";;;
2;"R43,R42";"R_1206_3216Metric";2;"1K";;;
3;"J8";"SW_DIP_SPSTx01_Slide_6.7x4.1mm_W6.73mm_P2.54mm_LowProfile_JPin";1;"PWON";;;
4;"D1";"LED_1206_3216Metric";1;"LED";;;
5;"C6,C3";"C_Elec_4x5.4";2;"10uf";;;
6;"R3,R6,R11,R13,R10,R14,R15,R5,R8,R4,R2,R1,R9,R12,R7,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32";"R_1206_3216Metric";32;"220ohm";;;
7;"J1";"JST_EH_B8B-EH-A_1x08_P2.50mm_Vertical";1;"SRA";;;
8;"Q8,Q7,Q6,Q5,Q4,Q3,Q2,Q1";"SOT-23";8;"BJT";;;
9;"C1,C2";"C_1206_3216Metric";2;"22pf";;;
10;"J2";"JST_EH_B8B-EH-A_1x08_P2.50mm_Vertical";1;"SRB";;;
11;"J3";"JST_EH_B8B-EH-A_1x08_P2.50mm_Vertical";1;"SRC";;;
12;"J4";"JST_EH_B8B-EH-A_1x08_P2.50mm_Vertical";1;"SRD";;;
13;"J5";"JST_EH_B8B-EH-A_1x08_P2.50mm_Vertical";1;"ROW SW";;;
14;"J6";"JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical";1;"BT SENSOR";;;
15;"R33,R34,R35,R36,R37,R38,R39,R40";"R_1206_3216Metric";8;"1k";;;
16;"R41";"R_1206_3216Metric";1;"2K";;;
17;"U1,U2,U3,U4,U5";"DIP-16_W7.62mm";5;"74HC595";;;
18;"U6";"TQFP-32_7x7mm_P0.8mm";1;"ATmega328PB-AU";;;
19;"Y1";"Crystal_HC49-4H_Vertical";1;"Crystal";;;
20;"C4";"C_Elec_4x5.4";1;"1uf";;;
21;"C5";"C_1206_3216Metric";1;"10uf";;;
22;"J7";"BarrelJack_CUI_PJ-063AH_Horizontal";1;"Barrel_Jack_Switch";;;
23;"J9";"USB_Micro-B_Molex_47346-0001";1;"USB_B_Micro";;;
24;"SW1";"SW_DIP_SPSTx02_Slide_9.78x7.26mm_W7.62mm_P2.54mm";1;"SW_DIP_x02";;;
25;"U7";"SOT-89-3";1;"L78L05_SOT89";;;
