Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22pf","C_1206_3216Metric",190.603999,-100.076000,0.000000,top
"C2","22pf","C_1206_3216Metric",190.603999,-111.506000,0.000000,top
"C3","10uf","C_Elec_4x5.4",208.534000,-113.284000,180.000000,top
"C4","1uf","C_Elec_4x5.4",208.534000,-100.584000,180.000000,top
"C5","10uf","C_1206_3216Metric",220.726000,-87.630000,-90.000000,top
"C6","10uf","C_Elec_4x5.4",171.958000,-89.408000,90.000000,top
"D1","LED","LED_1206_3216Metric",232.410000,-95.504000,-90.000000,top
"J8","PWON","SW_DIP_SPSTx01_Slide_6.7x4.1mm_W6.73mm_P2.54mm_LowProfile_JPin",217.170000,-106.426000,-90.000000,top
"J9","USB_B_Micro","USB_Micro-B_Molex_47346-0001",230.124000,-82.042000,90.000000,top
"Q1","BJT","SOT-23",117.348000,-75.946000,180.000000,top
"Q2","BJT","SOT-23",117.348000,-85.235148,180.000000,top
"Q3","BJT","SOT-23",117.348000,-94.524290,180.000000,top
"Q4","BJT","SOT-23",117.348000,-140.970000,180.000000,top
"Q5","BJT","SOT-23",117.348000,-103.813432,180.000000,top
"Q6","BJT","SOT-23",117.348000,-131.680858,180.000000,top
"Q7","BJT","SOT-23",117.348000,-113.102574,180.000000,top
"Q8","BJT","SOT-23",117.348000,-122.391716,180.000000,top
"R1","220ohm","R_1206_3216Metric",139.446000,-135.128000,90.000000,top
"R2","220ohm","R_1206_3216Metric",145.321866,-135.128000,90.000000,top
"R3","220ohm","R_1206_3216Metric",151.197732,-135.128000,90.000000,top
"R4","220ohm","R_1206_3216Metric",157.073598,-135.128000,90.000000,top
"R5","220ohm","R_1206_3216Metric",162.949464,-135.128000,90.000000,top
"R6","220ohm","R_1206_3216Metric",168.825330,-135.128000,90.000000,top
"R7","220ohm","R_1206_3216Metric",174.701196,-135.128000,90.000000,top
"R8","220ohm","R_1206_3216Metric",180.577062,-135.128000,90.000000,top
"R9","220ohm","R_1206_3216Metric",186.452928,-135.128000,90.000000,top
"R10","220ohm","R_1206_3216Metric",192.328794,-135.128000,90.000000,top
"R11","220ohm","R_1206_3216Metric",198.120000,-136.398000,90.000000,top
"R12","220ohm","R_1206_3216Metric",203.708000,-136.398000,90.000000,top
"R13","220ohm","R_1206_3216Metric",209.956392,-135.128000,90.000000,top
"R14","220ohm","R_1206_3216Metric",215.832258,-135.128000,90.000000,top
"R15","220ohm","R_1206_3216Metric",221.708124,-135.128000,90.000000,top
"R16","220ohm","R_1206_3216Metric",227.584000,-135.128000,90.000000,top
"R17","220ohm","R_1206_3216Metric",220.980000,-76.070000,-90.000000,top
"R18","220ohm","R_1206_3216Metric",215.493600,-76.070000,90.000000,top
"R19","220ohm","R_1206_3216Metric",210.007200,-76.070000,-90.000000,top
"R20","220ohm","R_1206_3216Metric",204.520800,-76.070000,-90.000000,top
"R21","220ohm","R_1206_3216Metric",199.034400,-76.070000,-90.000000,top
"R22","220ohm","R_1206_3216Metric",193.548000,-76.070000,-90.000000,top
"R23","220ohm","R_1206_3216Metric",188.061600,-76.070000,-90.000000,top
"R24","220ohm","R_1206_3216Metric",182.575200,-76.070000,-90.000000,top
"R25","220ohm","R_1206_3216Metric",177.088800,-76.324000,-90.000000,top
"R26","220ohm","R_1206_3216Metric",171.602400,-76.324000,-90.000000,top
"R27","220ohm","R_1206_3216Metric",166.116000,-76.324000,-90.000000,top
"R28","220ohm","R_1206_3216Metric",160.629600,-76.324000,-90.000000,top
"R29","220ohm","R_1206_3216Metric",155.143200,-76.324000,-90.000000,top
"R30","220ohm","R_1206_3216Metric",149.656800,-76.324000,-90.000000,top
"R31","220ohm","R_1206_3216Metric",144.170400,-76.324000,-90.000000,top
"R32","220ohm","R_1206_3216Metric",138.684000,-76.324000,-90.000000,top
"R33","1k","R_1206_3216Metric",137.668000,-127.254000,0.000000,top
"R34","1k","R_1206_3216Metric",137.668000,-121.339426,0.000000,top
"R35","1k","R_1206_3216Metric",137.668000,-115.424855,0.000000,top
"R36","1k","R_1206_3216Metric",137.668000,-109.510284,0.000000,top
"R37","1k","R_1206_3216Metric",137.668000,-103.595713,180.000000,top
"R38","1k","R_1206_3216Metric",137.668000,-97.681142,0.000000,top
"R39","1k","R_1206_3216Metric",137.668000,-91.766571,0.000000,top
"R40","1k","R_1206_3216Metric",137.668000,-85.852000,0.000000,top
"R41","2K","R_1206_3216Metric",124.968000,-134.112000,0.000000,top
"R42","1K","R_1206_3216Metric",132.972000,-133.858000,180.000000,top
"R43","1K","R_1206_3216Metric",226.190000,-91.186000,180.000000,top
"U6","ATmega328PB-AU","TQFP-32_7x7mm_P0.8mm",164.192000,-106.358000,180.000000,top
"U7","L78L05_SOT89","SOT-89-3",214.122000,-123.190000,0.000000,top
