Ref,Val,Package,PosX,PosY,Rot,Side
"C2","10uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",133.085000,-130.048000,90.000000,top
"C3","22pF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",105.283000,-134.484000,90.000000,top
"C4","22pF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",105.283000,-140.843000,-90.000000,top
"D1","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",144.526000,-152.273000,-90.000000,top
"R1","10Kohm","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",130.661000,-135.509000,180.000000,top
"R2","330ohm","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",130.661000,-140.081000,0.000000,top
"U2","ATmega328P-PU","PLCC-28_SMD-Socket",118.364000,-138.430000,0.000000,top
"U3","DS1337_PDv2","SOIJ-8_5.3x5.3mm_P1.27mm",145.542000,-141.478000,0.000000,top
"U4","24LC1025","SOIC-8_5.275x5.275mm_P1.27mm",145.442000,-130.683000,0.000000,top
"U5","24LC1025","PowerIntegrations_SO-8",101.854000,-151.384000,0.000000,top
"Y1","Crystal 32MHz","Crystal_SMD_HC49-SD",136.525000,-140.462000,-90.000000,top
"Y2","Crystal 16Mhz","Crystal_SMD_HC49-SD",97.790000,-138.938000,90.000000,top
