"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1,C2";"C_0402_1005Metric";2;"47pF";;;
2;"C3,C9,C13";"C_0805_2012Metric";3;"10uF";;;
3;"C4,C8";"C_0402_1005Metric";2;"1uF";;;
4;"C6,C7,C10,C11,C12,C14,C15,C5";"C_0402_1005Metric";8;"0.1uF";;;
5;"C16,C17";"C_0402_1005Metric";2;"33pF";;;
6;"D1";"LED_0805";1;"USB_RX";;;
7;"FB1";"L_0603_1608Metric";1;"600R";;;
8;"J1";"USB_Micro-B_Amphenol_10118194_Horizontal";1;"USB_B_Micro";;;
9;"R1";"R_0402_1005Metric";1;"4.75K";;;
10;"R2";"R_0402_1005Metric";1;"10K";;;
11;"R3,R4,R5,R6";"R_0402_1005Metric";4;"DNP";;;
12;"R7,R8,R11";"R_0402_1005Metric";3;"2.2K";;;
13;"R9,R10";"R_0402_1005Metric";2;"27";;;
14;"R12,R13";"R_0805_2012Metric";2;"680";;;
15;"R14";"R_0603_1608Metric";1;"4.87K";;;
16;"R15,R16,R17,R18";"R_0402_1005Metric";4;"49.9";;;
17;"R19,R20";"R_0805_2012Metric";2;"330";;;
18;"R21";"R_0603_1608Metric";1;"0";;;
19;"J2";"PinHeader_2x15_P2.54mm_Vertical";1;"Conn_02x15_Odd_Even";;;
20;"U1";"SSOP-16_3.9x4.9mm_P0.635mm";1;"FT230XS";;;
21;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"25MHz";;;
22;"U2";"QFN-40-1EP_6x6mm_P0.5mm_EP4.6x4.6mm_ThermalVias";1;"DP83848J";;;
23;"J3";"J1B1211CCD";1;"J1B1211CCD";;;
24;"D2";"LED_0805";1;"USB_TX";;;
