"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"BT1","1","Battery 3V","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"C1,C2","2","22pF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"C3","1","10uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"D1","1","LED","","","","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"J1","1","Serial","","","","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","~"
"J2","1","Digital pins","","","","Connector_PinSocket_2.54mm:PinSocket_1x09_P2.54mm_Vertical","~"
"J3","1","ICSP","","","","Connector_PinSocket_2.54mm:PinSocket_2x03_P2.54mm_Vertical","~"
"J4","1","I2C","","","","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","~"
"R1","1","330Ohm","","","","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"R2","1","10KOhm","","","","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"U1","1","DS1377_PDv2","","","","Package_SO:SOIJ-8_5.3x5.3mm_P1.27mm",""
"U2,U3","2","24LC1025","","","","Package_SO:SO-8_5.3x6.2mm_P1.27mm","http://ww1.microchip.com/downloads/en/DeviceDoc/21941B.pdf"
"U4","1","ATMEGA328P-AU","","","","digikey-footprints:TQFP-32_7x7mm","http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en608326"
"Y1","1","Crystal 32 MHz","","","","Crystal:Crystal_SMD_MicroCrystal_CC7V-T1A-2Pin_3.2x1.5mm_HandSoldering","~"
"Y2","1","Crystal 16MHz","","","","Crystal:Crystal_SMD_5032-2Pin_5.0x3.2mm_HandSoldering","~"
