Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22pF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",121.412000,-75.057000,0.000000,top
"C2","22pF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",115.760000,-79.311500,180.000000,top
"C3","10uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",86.868000,-62.230000,180.000000,top
"D1","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",99.314000,-69.596000,180.000000,top
"R1","330Ohm","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",117.094000,-83.820000,-90.000000,top
"R2","10KOhm","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",99.060000,-66.040000,0.000000,top
"U1","DS1377_PDv2","SOIJ-8_5.3x5.3mm_P1.27mm",117.602000,-66.802000,0.000000,top
"U2","24LC1025","SO-8_5.3x6.2mm_P1.27mm",106.870000,-78.486000,180.000000,top
"U3","24LC1025","SO-8_5.3x6.2mm_P1.27mm",106.870000,-69.342000,0.000000,top
"U4","ATMEGA328P-AU","TQFP-32_7x7mm",94.107000,-77.724000,0.000000,top
"Y1","Crystal 32 MHz","Crystal_SMD_MicroCrystal_CC7V-T1A-2Pin_3.2x1.5mm_HandSoldering",115.252000,-74.993500,0.000000,top
"Y2","Crystal 16MHz","Crystal_SMD_5032-2Pin_5.0x3.2mm_HandSoldering",91.948000,-68.326000,0.000000,top
