"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1, C2, C3, C9";"C_0402_1005Metric";4;"100nF";;;
2;"C4, C5, C6";"C_0402_1005Metric";3;"1uF";;;
3;"C7, C8, C10, C11";"C_0402_1005Metric";4;"18p";;;
4;"D1, D2";"LED_0402_1005Metric";2;"LED";;;
5;"J1";"USB_C_Receptacle_G-Switch_GT-USB-7010ASV";1;"USB_C_Receptacle_USB2.0";;;
6;"J2, J3";"PinHeader_1x20_P2.54mm_Vertical";2;"Conn_01x20";;;
7;"J4";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04";;;
8;"R1, R2";"R_0402_1005Metric";2;"5.1k";;;
9;"R3, R4";"R_0402_1005Metric";2;"10k";;;
10;"R5";"R_0402_1005Metric";1;"1.5k";;;
11;"R6, R7";"R_0402_1005Metric";2;"1k";;;
12;"SW1, SW2";"ALPSALPINE_SKRPACE010";2;"SW_Push";;;
13;"U1";"SOT-23-3";1;"XC6206P332MR";;;
14;"U2";"LQFP-48_7x7mm_P0.5mm";1;"STM32F103C8Tx";;;
15;"Y1";"Crystal_SMD_5032-2Pin_5.0x3.2mm";1;"8MHz";;;
16;"Y2";"Crystal_SMD_3215-2Pin_3.2x1.5mm";1;"32.768kHz";;;
