Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",131.100000,-118.525000,90.000000,top
"C2","4.7uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",126.000000,-102.475000,-90.000000,top
"C3","0.1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",124.000000,-102.475000,-90.000000,top
"C4","1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",134.600000,-116.550000,180.000000,top
"C5","4.7uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",152.975000,-72.000000,180.000000,top
"C6","0.1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",152.975000,-74.000000,180.000000,top
"C7","4.7uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",144.475000,-139.000000,0.000000,top
"C8","1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",138.100000,-121.025000,90.000000,top
"C9","18 pF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",152.825000,-91.400000,0.000000,top
"C10","18 pF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",145.775000,-91.400000,180.000000,top
"C12","0.1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",144.475000,-141.000000,0.000000,top
"C13","4.7uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",171.000000,-110.975000,90.000000,top
"C14","0.1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",173.000000,-111.000000,90.000000,top
"C15","0.1 uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",141.800000,-109.425000,-90.000000,top
"C16","0.1 uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",152.125000,-113.538000,0.000000,top
"C17","0.1 uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",155.500000,-103.775000,90.000000,top
"C18","0.1 uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",146.825000,-99.500000,180.000000,top
"D1","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",148.750000,-78.000000,0.000000,top
"D2","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",130.000000,-106.750000,90.000000,top
"D3","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",167.250000,-106.750000,-90.000000,top
"D4","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",148.750000,-135.250000,180.000000,top
"J1","Conn_01x06","PinHeader_1x06_P2.54mm_Vertical",166.370000,-78.500000,0.000000,top
"J2","USB_B_Micro","USB_Micro-B_Amphenol_10103594-0001LF_Horizontal",125.730000,-125.176000,-90.000000,top
"R1","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",157.480000,-103.775000,-90.000000,top
"R2","10","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",148.750000,-80.500000,180.000000,top
"R3","10","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",132.500000,-106.750000,-90.000000,top
"R4","10","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",164.750000,-106.750000,90.000000,top
"R5","10","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",148.750000,-132.750000,0.000000,top
"R6","4.7k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",165.225000,-94.750000,0.000000,top
"R7","4.7k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",165.225000,-96.750000,0.000000,top
"R8","47k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",126.000000,-111.525000,90.000000,top
"R9","47k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",124.000000,-111.525000,90.000000,top
"R10","47k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",143.975000,-74.000000,0.000000,top
"R11","47k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",153.525000,-139.000000,180.000000,top
"R12","47k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",143.975000,-72.000000,0.000000,top
"R13","47k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",153.525000,-141.000000,180.000000,top
"R14","47k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",171.000000,-102.025000,-90.000000,top
"R15","47k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",173.000000,-102.025000,-90.000000,top
"U1","VL6180X","VL6180X",126.000000,-106.750000,0.000000,top
"U2","AP7332-2833","SOT-23-6_Handsoldering",134.600000,-120.900000,-90.000000,top
"U3","VL6180X","VL6180X",148.750000,-74.000000,-90.000000,top
"U4","VL6180X","VL6180X",148.750000,-139.250000,90.000000,top
"U5","VL6180X","VL6180X",171.250000,-106.750000,180.000000,top
"U6","STM32F070CBTx","LQFP-48_7x7mm_P0.5mm",148.750000,-106.750000,-90.000000,top
"Y1","8 MHz","Crystal_HC49-U_Vertical",151.680000,-95.600000,180.000000,top
