"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"BZ1","1","Buzzer","","","","PKMCS0909E4000-R1:SPKR_PKMCS0909E4000-R1","~"
"C1,C2,C13","3","100nf","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C3,C4","2","22pf","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C5","1","1uf","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C6","1","2.2uf","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C7,C8","2","10uf","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C9","1","0.1uf","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C10","1","1.0uf","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C11","1","100uf","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C12","1","1.0fu","","","","Capacitor_SMD:C_0805_2012Metric","~"
"D1,D3,D5","3","SS14","","","","Diode_SMD:D_SMA","https://www.vishay.com/docs/88746/ss12.pdf"
"D2,D6,D7,D8","4","LED","","","","LED_SMD:LED_0805_2012Metric","~"
"D4","1","WS2812B","","","","LED_SMD:LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm","https://cdn-shop.adafruit.com/datasheets/WS2812B.pdf"
"H1,H2,H3,H4","4","MountingHole","","Excluded from BOM","","MountingHole:MountingHole_2.2mm_M2_Pad_Via","~"
"J1","1","ICSP","","","","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","~"
"J1-1","1","Conn_01x10_Pin","","","","Connector_PinSocket_2.54mm:PinSocket_1x10_P2.54mm_Vertical","~"
"J2","1","USB_C_Receptacle_PowerOnly_6P","","","","Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"J2-1,J4-1","2","Conn_01x08_Pin","","","","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","~"
"J3","1","Barrel_Jack","","","","Connector_BarrelJack:BarrelJack_CUI_PJ-102AH_Horizontal","~"
"J3-1","1","Conn_01x06_Pin","","","","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical","~"
"JP1","1","SolderJumper_3_Bridged123","","Excluded from BOM","","Jumper:SolderJumper-3_P1.3mm_Bridged2Bar123_Pad1.0x1.5mm","~"
"JP2","1","SolderJumper_2_Bridged","","Excluded from BOM","","Jumper:SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm","~"
"R1,R7,R11","3","10k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R2,R12","2","1k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R3","1","330","","","","Resistor_SMD:R_0805_2012Metric","~"
"R4","1","2.2k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R5,R6","2","4.7k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R8","1","100","","","","Resistor_SMD:R_0805_2012Metric","~"
"R9","1","DNP","","","","Resistor_SMD:R_0805_2012Metric","~"
"R10","1","2k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R13,R14","2","5.1k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R15","1","1M","","","","Resistor_SMD:R_0805_2012Metric","~"
"SW2,SW3,SW4","3","SW_DPST_x2","","","","Button_Switch_SMD:SW_SPST_PTS647_Sx50","~"
"U1","1","ATMEGA328P-AU","","","","ATMEGA328P_AU:QFP80P900X900X120-32N",""
"U2","1","TLV76750DRVx","","","","Package_SON:WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias","www.ti.com/lit/gpn/TLV767"
"U3","1","AMS1117-3.3","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf"
"U4","1","APDS-9960","","","","Sensor:Avago_APDS-9960","https://docs.broadcom.com/doc/AV02-4191EN"
"U5","1","HC-05","","","","HC-05:XCVR_HC-05",""
"Y1","1","Crystal","","","","Crystal:Crystal_SMD_5032-2Pin_5.0x3.2mm","~"
