Ref,Val,Package,PosX,PosY,Rot,Side
"5V-LDO","LED","LED_0805_2012Metric",142.976600,-127.637300,-90.000000,top
"16Mhz","Crystal","Crystal_SMD_5032-2Pin_5.0x3.2mm",121.873400,-107.162600,180.000000,top
"BT","LED","LED_0805_2012Metric",142.875000,-132.158500,90.000000,top
"BT-PWR","LED","LED_0805_2012Metric",121.335800,-115.443000,0.000000,top
"BZ1","Buzzer","SPKR_PKMCS0909E4000-R1",161.512000,-135.559800,0.000000,top
"C1","100nf","C_0805_2012Metric",140.538200,-112.862400,-90.000000,top
"C2","100nf","C_0805_2012Metric",147.828000,-112.638800,-90.000000,top
"C3","22pf","C_0805_2012Metric",147.929600,-108.981200,-90.000000,top
"C4","22pf","C_0805_2012Metric",144.145000,-109.032000,-90.000000,top
"C5","1uf","C_0805_2012Metric",140.411200,-109.057400,90.000000,top
"C6","2.2uf","C_0805_2012Metric",144.094200,-112.867400,90.000000,top
"C7","10uf","C_0805_2012Metric",121.630400,-122.707400,0.000000,top
"C8","10uf","C_0805_2012Metric",146.558000,-128.894800,90.000000,top
"C9","0.1uf","C_0805_2012Metric",146.685000,-133.517600,90.000000,top
"C10","1.0uf","C_0805_2012Metric",149.885400,-123.865600,90.000000,top
"C11","100uf","C_0805_2012Metric",151.485600,-112.684600,90.000000,top
"C12","1.0fu","C_0805_2012Metric",150.241000,-133.441400,-90.000000,top
"C13","100nf","C_0805_2012Metric",146.558000,-137.703600,-90.000000,top
"D1","SS14","D_SMA",127.101600,-111.334800,90.000000,top
"D3","SW_DPST_x2","SW_SPST_PTS647_Sx50",129.556600,-75.997000,0.000000,top
"D3","SS14","D_SMA",136.982200,-111.106200,90.000000,top
"D5","SS14","D_SMA",132.130800,-111.131600,90.000000,top
"EN","SW_DPST_x2","SW_SPST_PTS647_Sx50",120.735000,-86.995200,0.000000,top
"EN-BT","SW_DPST_x2","SW_SPST_PTS647_Sx50",116.230000,-138.250000,0.000000,top
"PWR","LED","LED_0805_2012Metric",143.052800,-122.781300,-90.000000,top
"R1","10k","R_0805_2012Metric",116.257700,-118.287800,180.000000,top
"R2","1k","R_0805_2012Metric",146.685000,-123.776100,-90.000000,top
"R3","330","R_0805_2012Metric",116.537100,-128.422400,0.000000,top
"R4","2.2k","R_0805_2012Metric",121.439300,-118.160800,0.000000,top
"R5","4.7k","R_0805_2012Metric",149.987000,-128.953900,90.000000,top
"R6","4.7k","R_0805_2012Metric",146.761200,-118.848500,90.000000,top
"R7","10k","R_0805_2012Metric",116.486300,-122.707400,0.000000,top
"R8","100","R_0805_2012Metric",122.048900,-139.242800,0.000000,top
"R9","DNP","R_0805_2012Metric",155.805500,-113.004600,180.000000,top
"R10","2k","R_0805_2012Metric",121.871100,-128.143000,180.000000,top
"R11","10k","R_0805_2012Metric",122.048900,-134.569200,180.000000,top
"R12","1k","R_0805_2012Metric",116.892700,-134.442200,0.000000,top
"R13","5.1k","R_0805_2012Metric",151.409400,-108.917100,-90.000000,top
"R14","5.1k","R_0805_2012Metric",152.330000,-73.850000,90.000000,top
"R15","1M","R_0805_2012Metric",150.317200,-137.644500,-90.000000,top
"RGB-D13","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",120.788600,-79.045800,0.000000,top
"U1","ATMEGA328P-AU","QFP80P900X900X120-32N",135.000000,-92.500000,180.000000,top
"U2","TLV76750DRVx","WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias",127.941300,-81.569800,0.000000,top
"U3","AMS1117-3.3","SOT-223-3_TabPin2",121.361200,-97.383200,-90.000000,top
"U4","APDS-9960","Avago_APDS-9960",145.545000,-93.300000,0.000000,top
"U5","HC-05","XCVR_HC-05",133.590000,-129.865000,180.000000,top
"USB-C","USB_C_Receptacle_PowerOnly_6P","USB_C_Receptacle_HRO_TYPE-C-31-M-12",167.030000,-74.410000,90.000000,top
