"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1, C2";"C_0805_2012Metric";2;"10u";;;
2;"C3, C4, C5, C6, C7, C8, C9, C12, C13, C21, C23, C45, C48, C54, C59, C60, C61, C62, C63, C64, C65, C66, C67";"C_0402_1005Metric";23;"100nf";;;
3;"C14, C55";"C_0402_1005Metric";2;"10n";;;
4;"C15, C16";"C_0603_1608Metric";2;"2.2u";;;
5;"C17, C18";"C_0402_1005Metric";2;"12p";;;
6;"C19, C32, C56, C57";"C_0402_1005Metric";4;"1uF 16v";;;
7;"C20";"C_0402_1005Metric";1;"1uF";;;
8;"C22, C29, C30, C31, C33";"C_0402_1005Metric";5;"4.7uF";;;
9;"C24, C25, C26, C27";"C_0402_1005Metric";4;"10uF";;;
10;"C34, C35, C37, C38, C41, C42, C43, C44, C46, C47, C49, C51, C52";"C_0402_1005Metric";13;"10nf";;;
11;"C58";"C_0603_1608Metric";1;"4.7u";;;
12;"D1, D2";"D_SOD-123";2;"B5819W";;;
13;"D3";"LED_0603_1608Metric";1;"LED";;;
14;"D4, D5, D6, D7";"LED_0805_2012Metric";4;"LED_BL";;;
15;"D8";"LED_0805_2012Metric";1;"LED_BPM";;;
16;"F1";"Fuse_0603_1608Metric";1;"500mA";;;
17;"FB1, FB2, FB7";"L_0805_2012Metric";3;"100 @ 100MHz";;;
18;"FB3, FB4, FB5, FB6";"L_0805_2012Metric";4;"100";;;
19;"HSE1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"25Mhz";;;
20;"J1";"USB_Micro-B_Molex-105017-0001";1;"USB_B_Micro";;;
21;"J2";"AudioPJ-320B";1;"LINE OUT";;;
22;"J3";"AudioPJ-320B";1;"MICROPHONE";;;
23;"J4";"AudioPJ-320B";1;"LINE IN";;;
24;"J5";"AudioPJ-320B";1;"HEADPHONES";;;
25;"J6";"PinHeader_1x05_P2.54mm_Vertical";1;"Debug";;;
26;"R1, R5, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R29, R30, R34, R35, R37";"R_0402_1005Metric";18;"10k";;;
27;"R2";"R_0402_1005Metric";1;"220";;;
28;"R3, R4, R6, R15, R16";"R_0603_1608Metric";5;"180";;;
29;"R7, R8, R9, R10";"R_0805_2012Metric";4;"47k";;;
30;"R11";"R_0402_1005Metric";1;"330";;;
31;"R12, R13, R31, R32";"R_0805_2012Metric";4;"5.6k";;;
32;"R14";"R_0805_2012Metric";1;"680";;;
33;"R33";"R_0402_1005Metric";1;"100k";;;
34;"R36";"R_0402_1005Metric";1;"0";;;
35;"SW1";"RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm";1;"Rotary_Encoder_Switch";;;
36;"SW2, SW3, SW4";"RotaryEncoder_Alps_EC12E_Vertical_H20mm";3;"Rotary_Encoder";;;
37;"SW5";"Cherry-MX-Low-Profile";1;"SW_SPST";;;
38;"SW7";"SW_PUSH_6mm_H4.3mm";1;"SW_SPST";;;
39;"SW8";"RotaryEncoder_Alps_EC12E_Vertical_H20mm_CircularMountingHoles";1;"Rotary_Encoder";;;
40;"SW9";"SS-1290";1;"SW_SPDT";;;
41;"U1";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
42;"U2";"SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm";1;"CAT24C256";;;
43;"U3";"SOT-23-6";1;"USBLC6-2SC6";;;
44;"U5";"Nokia_5110-3310_LCD";1;"Nokia_5110_LCD";;;
45;"U7";"WM8960CGEFL&slash_RV";1;"WM8978CGEFL_RV";;;
46;"U10, U11";"SOT-363_SC-70-6";2;"SN74LVC2G34";;;
47;"U13";"LQFP-176_24x24mm_P0.5mm";1;"STM32H743IITx";;;
