"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J5";"SolderWire-0.25sqmm_1x03_P4.2mm_D0.65mm_OD1.7mm";1;"Conn_01x03";;;
2;"A1";"SW_PUSH-12mm_3DModel";1;"A";;;
3;"B1";"SW_PUSH-12mm_3DModel";1;"B";;;
4;"Select1";"SW_TH_Tactile_Omron_B3F-10xx";1;"Select";;;
5;"Start1";"SW_TH_Tactile_Omron_B3F-10xx";1;"Start";;;
6;"Right1";"SW_PUSH-12mm_3DModel";1;"Right";;;
7;"Left1";"SW_PUSH-12mm_3DModel";1;"Left";;;
8;"Boot1";"SW_SPST_B3U-1000P";1;"Boot";;;
9;"Down1";"SW_PUSH-12mm_3DModel";1;"Down";;;
10;"Reset1";"SW_SPST_B3U-1000P";1;"Reset";;;
11;"J4";"SolderWire-0.5sqmm_1x02_P4.6mm_D0.9mm_OD2.1mm";1;"Speaker";;;
12;"Up1";"SW_PUSH-12mm_3DModel";1;"Up";;;
13;"C13,C8,C7,C16,C11,C10,C5,C15,C14,C12";"C_0402_1005Metric";10;"100nF";;;
14;"C17,C9,C18,C6";"C_0402_1005Metric";4;"1uF";;;
15;"R11,R21,R22";"R_0402_1005Metric";3;"5.1K";;;
16;"R9,R8";"R_0402_1005Metric";2;"100";;;
17;"C2,C3";"C_0402_1005Metric";2;"30pF";;;
18;"U1";"QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm";1;"RP2040";;;
19;"R17,R18";"R_0402_1005Metric";2;"100K";;;
20;"FB1,FB2";"Ferrite_0805_2012Metric";2;"FerriteBead_Small";;;
21;"R13,R12,R6,R20,R16,R10";"R_0402_1005Metric";6;"10K";;;
22;"Power1";"MK-12C02-G020_GSW";1;"Power";;;
23;"C23,C4,C1,C22,C19";"C_0805_2012Metric";5;"10uF";;;
24;"R1,R5";"R_0402_1005Metric";2;"1k";;;
25;"X1";"JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal";1;"~";;;
26;"J3";"TE_1-1734839-5_1x15-1MP_P0.5mm_Horizontal";1;"LCD Display";;;
27;"U4";"MSOP-8_3x3mm_P0.65mm";1;"PAM8302A";;;
28;"U3";"SOIC-8_5.23x5.23mm_P1.27mm";1;"W25Q64JVSSIQ";;;
29;"J1";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB TypeC Connector";;;
30;"D2";"LED_0402_1005Metric";1;"Orange";;;
31;"Q1";"SOT-23";1;"DMG3415";;;
32;"C21,C20";"C_0805_2012Metric";2;"220pF";;;
33;"J2";"MOLEX_503398-1892";1;"503398-1892";;;
34;"U5";"SOT_RG1_DIO";1;"AP2112K-3.3";;;
35;"R19";"R_0402_1005Metric";1;"5k6";;;
36;"R3,R4";"R_0402_1005Metric";2;"27";;;
37;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"12MHZ XTal";;;
38;"R7";"Potentiometer_Bourns_TC33X_Vertical";1;"10K";;;
39;"D1";"D_SOD-123";1;"MBR0540";;;
40;"U2";"SOT-23-5";1;"MCP73831-2-OT";;;
