"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C5,C6,C9,C10,C11,C12,C13,C14,C15","10","100nF","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C2,C3","2","22pF","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C4,C8,C16,C17","4","1uF","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C7","1","10uF","","","","Capacitor_SMD:C_0402_1005Metric","~"
"F1","1","500mA","","","","Fuse:Fuse_1206_3216Metric","~"
"J1","1","USB_C_Receptacle_USB2.0","","","","Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"J2","1","SWD","","Excluded from BOM","","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical","~"
"J3,J4,J5","3","Conn_01x11","","Excluded from BOM","","Connector_PinSocket_2.54mm:PinSocket_1x11_P2.54mm_Vertical","~"
"R1,R2,R7","3","1k","","","","Resistor_SMD:R_0402_1005Metric","~"
"R3,R4","2","5k1","","","","Resistor_SMD:R_0402_1005Metric","~"
"R5,R6","2","27R","","","","Resistor_SMD:R_0603_1608Metric","~"
"SW1","1","SW_Push","","Excluded from BOM","","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","~"
"U1","1","W25Q128JVS","","","","Package_SO:SOIC-8_5.23x5.23mm_P1.27mm","http://www.winbond.com/resource-files/w25q128jv_dtr%20revc%2003272018%20plus.pdf"
"U2","1","USBLC6-2SC6","","","","Package_TO_SOT_SMD:SOT-23-6","https://www.st.com/resource/en/datasheet/usblc6-2.pdf"
"U3","1","RP2040","","","","Sleep-Lib:RP2040-QFN-56","https://datasheets.raspberrypi.com/rp2040/rp2040-datasheet.pdf"
"U4","1","XC6206PxxxMR-Regulator_Linear","","","","Package_TO_SOT_SMD:SOT-23","https://www.torexsemi.com/file/xc6206/XC6206.pdf"
"Y1","1","12MHz","","","","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","~"
