Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","CP_Tantalum_Case-A_EIA-3216-18_Hand",142.070000,-77.865000,0.000000,bottom
"C5","20pF","C_0805_HandSoldering",138.895000,-80.405000,180.000000,bottom
"C6","10nF","C_0805_HandSoldering",138.260000,-91.200000,-90.000000,bottom
"C7","1uF","C_0805_HandSoldering",140.800000,-91.200000,-90.000000,bottom
"C8","20pF","C_0805_HandSoldering",142.070000,-82.310000,180.000000,bottom
"C9","100nF","C_0805_HandSoldering",142.070000,-95.010000,0.000000,bottom
"C10","100nF","C_0805_HandSoldering",142.070000,-84.850000,0.000000,bottom
"R2","FBead","R_0805_HandSoldering",140.800000,-87.390000,0.000000,bottom
"C2","4.7uF","C_0805_HandSoldering",144.610000,-78.373000,0.000000,top
"C3","4.7uF","C_0805_HandSoldering",138.895000,-80.278000,0.000000,top
"C4","100nF","C_0805_HandSoldering",142.070000,-97.042000,0.000000,top
"D1","Schottky","D_SOD-123",144.610000,-76.087000,0.000000,top
"D2","Power_On?","LED_0805_HandSoldering",142.070000,-82.310000,180.000000,top
"J1","GPIO1","Pin_Header_Straight_1x12_Pitch2.54mm",134.450000,-75.960000,0.000000,top
"J2","Prog","Pin_Header_Angled_1x04_Pitch2.54mm",138.260000,-73.420000,90.000000,top
"J3","GPIO2","Pin_Header_Straight_1x12_Pitch2.54mm",149.690000,-75.960000,0.000000,top
"R1","RLED","R_0805_HandSoldering",144.610000,-80.278000,0.000000,top
"SW1","Reset","SW_PUSH_6mm",145.245000,-103.900000,180.000000,top
"U1","AP2210","SOT-23_Handsoldering",138.895000,-77.230000,0.000000,top
"U2","STM32F031K6","LQFP-32_7x7mm_Pitch0.8mm",142.070000,-89.930000,-45.000000,top
"Y1","8MHz","Crystal_Round_d3.0mm_Vertical",137.498000,-84.469000,45.000000,top
