"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"A1";"Arduino_Nano_WithMountingHoles";1;"Arduino_Nano_v3.x";;;
2;"C1, C11, C12";"C_0402_1005Metric";3;"1u";;;
3;"C2, C3, C4, C5, C6, C7, C8";"C_0402_1005Metric";7;"100n";;;
4;"C9, C10";"C_0402_1005Metric";2;"22p";;;
5;"D1, D3";"LED_0402_1005Metric";2;"LED";;;
6;"D2";"D_0402_1005Metric";1;"D_Schottky";;;
7;"F1";"Fuse_0402_1005Metric";1;"Polyfuse";;;
8;"J1";"USB_C_Receptacle_G-Switch_GT-USB-7010ASV";1;"USB_C_Receptacle_USB2.0";;;
9;"J2";"PinHeader_2x03_P2.54mm_Vertical";1;"ICSP";;;
10;"R1, R2, R3, R4";"R_0402_1005Metric";4;"5.1k";;;
11;"R5";"R_0402_1005Metric";1;"330";;;
12;"R6, R7";"R_0402_1005Metric";2;"2k";;;
13;"SW1";"SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS";1;"SW_Push";;;
14;"U1";"TQFP-32_7x7mm_P0.8mm";1;"ATmega328P-A";;;
15;"U2";"SOT-23-3";1;"XC6206P502MR";;;
16;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"16 MHz";;;
