"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J5";"PinHeader_1x03_P2.54mm_Vertical";1;"Conn_01x03_Male";;;
2;"C1,C4,CBP1,C17";"C_0402_1005Metric";4;"10uf 0402";;;
3;"R1,R11,GPIO24_RESISTOR1";"R_0402_1005Metric";3;"1K 0402";;;
4;"GPIO25_RESISTOR1";"R_0402_1005Metric";1;"470 0402";;;
5;"R5,R6";"R_0402_1005Metric";2;"5.1K 0402";;;
6;"FLASH1";"Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm";1;"W25Q16JVUXIQ";;;
7;"C5";"C_0402_1005Metric";1;"100nf 0402";;;
8;"J2,RSW1";"SW_Push_SPST_NO_Alps_SKRK";2;"TSA343G00-250J2";;;
9;"R2,R103";"R_0402_1005Metric";2;"10K 0402";;;
10;"D1";"D_SOD-123";1;"1N5917W";;;
11;"R7";"R_0402_1005Metric";1;"100K 0402";;;
12;"C2,C19";"C_0402_1005Metric";2;"22pf 0402";;;
13;"GPIO25_LED1";"LED_0402_1005Metric";1;"LED_0402";;;
14;"U1";"SOT-23-5";1;"SOT-23-5 5.5V 3.3V 500mA";;;
15;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"3225_4P 12MHz";;;
16;"F1";"Fuse_0805_2012Metric";1;"0805L050WR";;;
17;"C13,C12,C10,C8,C16,C15,C11,C14,C18";"C_0402_1005Metric";9;"100nF 0402";;;
18;"R3,R4";"R_0402_1005Metric";2;"27ohm 0402";;;
19;"C9,C6,C3,C7";"C_0402_1005Metric";4;"4.7uF 0402";;;
20;"R101";"R_0402_1005Metric";1;"5.6K 0402";;;
21;"U3";"QFN-60-1EP_7x7mm_P0.4mm_EP3.4x3.4mm_ThermalVias";1;"RP2350A";;;
22;"Q1";"SOT-23";1;"SI2301B";;;
23;"L1";"L_0805_2012Metric";1;"3.3uH 0805";;;
24;"R8";"R_0402_1005Metric";1;"33ohm 0402";;;
25;"GP23_LED1";"LED_0402_1005Metric";1;"GP23 LED_0402";;;
26;"C101";"C_0402_1005Metric";1;"0.1uf 0402";;;
27;"FB1";"R_0402_1005Metric";1;"FerriteBead 0402";;;
28;"J1";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB_C_Receptacle_USB2.0";;;
29;"R102";"R_0402_1005Metric";1;"220 0402";;;
30;"J4,J3";"PinHeader_1x20_P2.54mm_Vertical";2;"2.54mm header 01x20";;;
31;"TP1,TP2,TP3";"CustomTestPoint";3;"TestPoint";;;
32;"NT1";"NetTie-2_SMD_Pad0.5mm";1;"NetTie_2";;;
