"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C3,C4,C10","4","1uf 0402","","","","Capacitor_SMD:C_0402_1005Metric",""
"C2","1","22pF 0402","","","","Capacitor_SMD:C_0402_1005Metric",""
"C5,C6,C7,C8,C11,C13,C14,C15,C16,C18","10","100nf 0402","","","","Capacitor_SMD:C_0402_1005Metric",""
"C19","1","22pf 0402","","","","Capacitor_SMD:C_0402_1005Metric",""
"D1","1","SOD-523 General","","","","Diode_SMD:D_SOD-523","~"
"FLASH1","1","W25Q16JVUXIQ","","","","Package_SON:SON-8-1EP_3x2mm_P0.5mm_EP1.4x1.6mm","http://www.winbond.com/resource-files/w25q32jv%20revg%2003272018%20plus.pdf"
"GPIO25_LED1","1","LED 0402","","","","LED_SMD:LED_0402_1005Metric",""
"GPIO25_RESISTOR1,R1,R7","3","1K 0402","","","","Resistor_SMD:R_0402_1005Metric",""
"J1,J2","2","Button","","","","Button_Switch_SMD:SW_SPST_CK_KXT3",""
"R2","1","10K 0402","","","","Resistor_SMD:R_0402_1005Metric",""
"R3,R4","2","27r 0402","","","","Resistor_SMD:R_0402_1005Metric",""
"R5,R6","2","5.1K 0402","","","","Resistor_SMD:R_0402_1005Metric",""
"R101","1","5.6k 0402","","","","Resistor_SMD:R_0402_1005Metric","~"
"R102","1","10k 0402","","","","Resistor_SMD:R_0402_1005Metric","~"
"TP1,TP2,TP101,TP103","4","TestPoint","","","","EnvExtras:CustomTestPoint",""
"U1","1","ZL6201A33S3","","","","Package_TO_SOT_SMD:SOT-23","https://www.torexsemi.com/file/xc6206/XC6206.pdf"
"U2","1","Elite-C","","","","Keebio-Parts:Elite-C",""
"U3","1","RP2040","","","","RP2040_minimal:RP2040-QFN-56",""
"USB2","1","HRO-TYPE-C-31-M-12","","","","HRO-TYPE-C31-M-12:HRO-TYPE-C-31-M-12",""
"Y1","1","3225-4P 12MHz","","","","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","~"
