"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1, C2, C5, C6, C7, C8, C9, C10, C11, C12, C15";"C_0402_1005Metric";11;"100nF";;;
2;"C3, C4, C13, C14";"C_0402_1005Metric";4;"1uF";;;
3;"C16, C17";"C_0402_1005Metric";2;"27p";;;
4;"D1";"D_SOD-123";1;"D_Schottky";;;
5;"D2, D3, D4";"LED_0402_1005Metric";3;"LED";;;
6;"H1, H2, H3, H4";"MountingHole_2.2mm_M2";4;"MountingHole";;;
7;"J1";"USB_C_Receptacle_G-Switch_GT-USB-7010ASV";1;"USB_C_Receptacle_USB2.0";;;
8;"J3, J4";"PinHeader_1x20_P2.54mm_Vertical";2;"Conn_01x20";;;
9;"J5";"PinHeader_1x03_P2.54mm_Vertical";1;"Conn_01x03";;;
10;"J6";"JST_SH_BM03B-SRSS-TB_1x03-1MP_P1.00mm_Vertical";1;"Conn_01x03_MountingPin";;;
11;"J7";"PinHeader_1x01_P2.54mm_Vertical";1;"Conn_01x01_Pin";;;
12;"R1, R2, R3, R6, R7";"R_0402_1005Metric";5;"5.1k";;;
13;"R4, R5";"R_0402_1005Metric";2;"27R";;;
14;"R8, R9, R10, R11, R12, R13, R14, R15";"R_0402_1005Metric";8;"1k";;;
15;"SW1, SW2";"ALPSALPINE_SKRPACE010";2;"SW_Push";;;
16;"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12, TP13";"TestPoint_pad";13;"~";;;
17;"U1";"SOT-23-3";1;"XC6206P332MR";;;
18;"U2";"QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm";1;"RP2040";;;
19;"U3";"W25Q16JVUXIQ";1;"W25Q16JVUXIQ";;;
20;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"12MHz";;;
