"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1";"C_0402_1005Metric";1;"1u";;;
2;"C2, C3, C4, C5, C8, C9";"C_0402_1005Metric";6;"100n";;;
3;"C6, C7, C10";"CP_EIA-3216-10_Kemet-I";3;"22u";;;
4;"D1, D4";"LED_0402_1005Metric";2;"LED";;;
5;"D2, D3";"D_0402_1005Metric";2;"D_Schottky";;;
6;"J1, J2";"USB_C_Receptacle_G-Switch_GT-USB-7010ASV";2;"USB_C_Receptacle_USB2.0";;;
7;"Q1, Q2";"SOT-23W";2;"Q_NPN_BCE";;;
8;"R1, R4, R5, R10";"R_0402_1005Metric";4;"10k";;;
9;"R2, R3, R6, R7, R8, R11";"R_0402_1005Metric";6;"5.1k";;;
10;"R9";"R_0402_1005Metric";1;"2.4k";;;
11;"SW1, SW2";"SW_Push_SPST_NO_Alps_SKRK";2;"SW_Push";;;
12;"U1";"ESP32-S3-WROOM-1";1;"ESP32-S3-WROOM-1";;;
13;"U2";"ESP32-S3-DevKitC";1;"ESP32-S3-DevKitC";;;
14;"U3";"QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm";1;"CP2102N-Axx-xQFN28";;;
15;"U5";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
