"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"BT1","1","Battery","","","","Battery:BatteryHolder_Keystone_2462_2xAA","~"
"C1,C2,C3,C4,C5,C6,C8,C9,C10,C11,C12,C16","12","2A103J","","","","Capacitor_THT:C_Disc_D9.0mm_W5.0mm_P5.00mm","~"
"C7","1","2A103J","","","","Capacitor_THT:C_Disc_D8.0mm_W2.5mm_P5.00mm","~"
"C13,C17","2","2A103J","","","","Capacitor_THT:C_Disc_D11.0mm_W5.0mm_P5.00mm","~"
"C14","1","2A103","","","","Capacitor_THT:C_Disc_D11.0mm_W5.0mm_P7.50mm","~"
"C15","1","2A103J","","","","Capacitor_THT:C_Disc_D11.0mm_W5.0mm_P7.50mm","~"
"C18","1","103","","","","Capacitor_THT:C_Disc_D11.0mm_W5.0mm_P5.00mm","~"
"C19,C20","2","C","","","","Capacitor_THT:C_Disc_D11.0mm_W5.0mm_P5.00mm","~"
"D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12","12","1N4007","","","","Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf"
"D13,D14,D15","3","1N47xxA","","","","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://www.vishay.com/docs/85816/1n4728a.pdf"
"D16,D18","2","LED","","","","LED_THT:LED_Rectangular_W3.9mm_H1.9mm","~"
"D17","1","LED","","","","LED_THT:LED_Rectangular_W3.9mm_H1.8mm","~"
"D19,D20,D21","3","1N4007","","","","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf"
"J1","1","Screw_Terminal_01x04","","","","TerminalBlock:TerminalBlock_Altech_AK300-4_P5.00mm","~"
"J2","1","Jack-DC","","","","Connector_BarrelJack:BarrelJack_CUI_PJ-063AH_Horizontal","~"
"R1,R5,R9","3","1M","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R2,R6,R10","3","100K","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R3,R7,R11,R13,R14,R15","6","10K","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R4,R8,R12","3","2.2K","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R16,R17,R21","3","47k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R18,R19,R20","3","20k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R22,R23,R24","3","57k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"U1,U2,U3","3","LM3578","","","","Package_DIP:DIP-8_W7.62mm_Socket_LongPads","http://www.ti.com/lit/ds/symlink/lm3578a.pdf"
"U4","1","L7809","","","","digikey-footprints:3-SIP_Module_V7805-500","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf"
"Y1","1","Crystal","","","","Crystal:Crystal_HC49-U_Vertical","~"
