Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nf","C_0201_0603Metric",142.545000,-101.590000,0.000000,top
"C2","100nf","C_0201_0603Metric",140.390000,-101.590000,0.000000,top
"C3","100nf","C_0201_0603Metric",142.545000,-104.090000,0.000000,top
"C4","100nf","C_0201_0603Metric",140.390000,-104.590000,0.000000,top
"D4","LED","LED_0201_0603Metric",138.890000,-102.435000,90.000000,top
"D5","LED","LED_0201_0603Metric",138.890000,-104.935000,90.000000,top
"J1","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_HRO_TYPE-C-31-M-12",123.890000,-104.090000,-90.000000,top
"R1","5.1k","R_0201_0603Metric",140.345000,-102.590000,0.000000,top
"R2","5.1k","R_0201_0603Metric",142.545000,-103.090000,0.000000,top
"R3","10k","R_0201_0603Metric",140.390000,-106.590000,180.000000,top
"R4","1k","R_0201_0603Metric",140.390000,-103.590000,0.000000,top
"R5","1k","R_0201_0603Metric",142.545000,-106.590000,0.000000,top
"R6","1k","R_0201_0603Metric",142.545000,-105.090000,0.000000,top
"R7","1k","R_0201_0603Metric",140.390000,-105.590000,0.000000,top
"U1","CP2102N-Axx-xQFN28","QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm",134.424894,-104.218339,0.000000,top
