Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_1206_3216Metric",116.500000,-143.000000,0.000000,top
"C2","10uF","C_1206_3216Metric",116.500000,-125.000000,0.000000,top
"C3","100nF","C_1206_3216Metric",124.500000,-136.014000,-90.000000,top
"C4","100nF","C_1206_3216Metric",110.500000,-117.600000,90.000000,top
"C5","10nF","C_1206_3216Metric",116.500000,-130.556000,0.000000,top
"C6","10nF","C_1206_3216Metric",124.000000,-117.600000,90.000000,top
"C7","0.1uF","C_1206_3216Metric",110.744000,-136.014000,-90.000000,top
"C8","0.1uF","C_1206_3216Metric",143.500000,-110.000000,0.000000,top
"D1","LED_Small","LED_D5.0mm",131.500000,-127.500000,0.000000,top
"D2","LED_Small","LED_D5.0mm",132.500000,-111.500000,90.000000,top
"F1","Fuse_Small","Fuseholder_TR5_Littelfuse_No560_No460",101.082000,-137.404000,0.000000,top
"F2","Fuse_Small","Fuseholder_TR5_Littelfuse_No560_No460",103.632000,-116.078000,-90.000000,top
"F3","Fuse_Small","Fuseholder_TR5_Littelfuse_No560_No460",131.064000,-139.954000,90.000000,top
"F4","Fuse_Small","Fuseholder_TR5_Littelfuse_No560_No460",131.064000,-121.158000,90.000000,top
"J1","Conn_01x02","Altech_AK300_1x02_P5.00mm_45-Degree",90.678000,-116.443000,-90.000000,top
"J2","Conn_01x02","Altech_AK300_1x02_P5.00mm_45-Degree",90.678000,-135.382000,-90.000000,top
"J3","Conn_01x02","Altech_AK300_1x02_P5.00mm_45-Degree",143.764000,-140.097000,90.000000,top
"J4","Conn_01x02","Altech_AK300_1x02_P5.00mm_45-Degree",144.018000,-121.158000,90.000000,top
"Q1","2N3904","TO-92_Inline",122.000000,-125.500000,-90.000000,top
"Q2","2N3904","TO-92_Inline",123.500000,-109.000000,-90.000000,top
"R1","1k","R_1206_3216Metric",126.500000,-126.000000,90.000000,top
"R2","1k","R_1206_3216Metric",139.500000,-128.600000,90.000000,top
"R3","1k","R_1206_3216Metric",115.100000,-109.500000,180.000000,top
"R4","1k","R_1206_3216Metric",144.000000,-128.600000,-90.000000,top
"SW1","SW_DIP_x01","SW_DIP_SPSTx01_Piano_10.8x4.1mm_W7.62mm_P2.54mm",88.138000,-128.524000,0.000000,top
"SW2","SW_DIP_x01","SW_DIP_SPSTx01_Piano_10.8x4.1mm_W7.62mm_P2.54mm",88.138000,-109.728000,0.000000,top
"U1","LD1117S50TR_SOT223","SOT-223-3_TabPin2",117.094000,-136.398000,0.000000,top
"U2","LD1117S33TR_SOT223","SOT-223-3_TabPin2",117.602000,-117.348000,0.000000,top
