"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1, C7, C8, C9, C10, C11, C12, C15, C32, C34, C36, C38, C40, C44, C45, C52, C57, C59, C66, C70, C71, C77, C78, C79, C87, C88, C95, C97, C103, C123, C128, C129, C139, C141";"C_0402_1005Metric";34;"4u7";;;
2;"C2, C3, C4, C5, C6, C16, C17, C18, C19, C20, C21, C22, C138, C142";"C_0402_1005Metric";14;"100n";;;
3;"C13, C23, C33, C35, C37, C39, C41, C43, C46, C47, C48, C50, C53, C54, C55, C56, C61, C62, C67, C69, C72, C76, C80, C81, C82, C83, C84, C85, C89, C90, C91, C92, C94, C98, C99, C100, C101, C102, C107, C108, C112, C114, C130, C131, C132, C133, C134, C135, C136, C137";"C_0201_0603Metric";50;"470n";;;
4;"C24, C27, C28, C29, C31, C49, C73, C74, C75, C86, C127";"C_0805_2012Metric";11;"47u";;;
5;"C25, C26, C30";"C_0805_2012Metric";3;"22u";;;
6;"C42, C51, C58, C60, C63, C64, C68, C93, C96";"C_1206_3216Metric";9;"100u";;;
7;"C65";"C_0402_1005Metric";1;"10u";;;
8;"C104, C105, C106, C109, C110, C111, C113, C118, C119, C120, C121, C122, C124, C125, C126";"C_0201_0603Metric";15;"47n";;;
9;"D2";"LED_0603_1608Metric";1;"LED_Small";;;
10;"H1, H2, H3, H4";"MountingHole_2.7mm_M2.5_ISO14580_MOD";4;"MountingHole";;;
11;"J1, J2, J3";"HRS_DF40C-100DS-0.4V_51_";3;"DF40C-100DS-0.4V_51";;;
12;"L1";"L_0806_2.0x1.6mm";1;"3u3";;;
13;"L2, L3, L4, L6, L7, L8, L9";"L_0402_1005Metric";7;"120R";;;
14;"L5";"L_0402_1005Metric";1;"600@100MHz";;;
15;"Q3";"SOT-23";1;"NMOS";;;
16;"R1, R5, R6, R13, R15, R39, R40, R41, R42, R43, R44, R74, R75, R76, R77, R86, R87, R88, R89, R90, R92, R93, R94, R97, R100";"R_0402_1005Metric";25;"10k";;;
17;"R2, R20, R21, R22, R49, R51, R52, R53, R54, R55, R56, R57, R58, R59, R60, R61, R62, R63, R64, R65, R66, R67, R68, R69, R70, R71, R72, R73, R95, R96";"R_0402_1005Metric";30;"22R";;;
18;"R3, R4, R14";"R_0402_1005Metric";3;"1k5";;;
19;"R7, R8, R9, R10, R11, R12, R17, R18, R19, R48, R98, R99";"R_0402_1005Metric";12;"4k7";;;
20;"R16";"R_0402_1005Metric";1;"2k49";;;
21;"R23, R27, R28, R29, R30, R31, R32, R35, R36, R78, R79, R80, R81, R82, R83, R84, R85";"R_0402_1005Metric";17;"100k";;;
22;"R24";"R_0402_1005Metric";1;"8k06";;;
23;"R25";"R_0402_1005Metric";1;"28k7";;;
24;"R26, R33, R37";"R_0402_1005Metric";3;"200k";;;
25;"R34";"R_0402_1005Metric";1;"44k2";;;
26;"R38";"R_0402_1005Metric";1;"160k";;;
27;"R45";"R_0402_1005Metric";1;"240R";;;
28;"R46, R47";"R_0201_0603Metric";2;"100R";;;
29;"R50";"R_0402_1005Metric";1;"100R";;;
30;"R91";"R_0402_1005Metric";1;"330";;;
31;"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12, TP13, TP14, TP15, TP16";"TestPoint_Pad_D0.7mm";16;"TestPoint";;;
32;"U1";"BGA96C80P9X16_1400X800X120";1;"MT41K256M16TW-107_P";;;
33;"U2";"CLG484_XIL-L_new";1;"XC7Z020-CLG484";;;
34;"U3";"RTL8211F-CG_RTK-L";1;"RTL8211F";;;
35;"U4, U6";"MPM3834";2;"MPM3834";;;
36;"U5";"QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm";1;"USB3318";;;
37;"U7";"BGA153N50P14X14_1150X1300X100";1;"IS21ES08G";;;
38;"U8";"B0QFN_RDJ";1;"TPSM82864";;;
39;"U9";"STM32G431CBU6";1;"STM32G431CBUx";;;
40;"U10";"QFN_2p5x3p5x1p6_MNP";1;"MPM3822";;;
41;"U11";"WSON-8-1EP_8x6mm_P1.27mm_EP3.4x4.3mm";1;"W25Q128JVS";;;
42;"U13";"TLV707";1;"TPS7A20";;;
43;"U14";"BMI323_BOS";1;"BMI323";;;
44;"X1";"Oscillator_SMD_Kyocera_4PIN_2.0x1.6mm";1;"ASCO";;;
45;"X2";"Oscillator_SMD_Kyocera_4PIN_2.0x1.6mm";1;"ASE-xxxMHz";;;
46;"X3";"Oscillator_SMD_Kyocera_4PIN_2.0x1.6mm";1;"CMOS_OSC";;;
