"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"BT1";"PinSocket_1x02_P2.54mm_Vertical";1;"Battery 2s";;;
2;"C1, C2, C4, C7, C10, C11";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";6;"0.1u";;;
3;"C3, C5";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"1u";;;
4;"C6";"CP_Radial_D6.3mm_P2.50mm";1;"16v 47u";;;
5;"C8";"CP_Radial_D5.0mm_P2.50mm";1;"100v 4.7u";;;
6;"C9";"C_Rect_L7.0mm_W2.5mm_P5.00mm";1;"0.1u";;;
7;"C12";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"0.22u";;;
8;"D1, D2, D3, D7";"D_SOD-123";4;"BAT46W";;;
9;"D4, D6";"D_DO-35_SOD27_P7.62mm_Horizontal";2;"1n4148";;;
10;"D5";"LED_D3.0mm";1;"RED";;;
11;"F1";"Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"200mA";;;
12;"J1";"PinSocket_1x05_P2.54mm_Vertical";1;"Encoder";;;
13;"J2";"PinSocket_1x04_P2.54mm_Vertical";1;"LCD";;;
14;"J3";"PinSocket_1x10_P2.54mm_Vertical";1;"ADS1115 ADC";;;
15;"K1, K2";"Relay_SPDT_18.4x10.2";2;"Relay_SPDT";;;
16;"L1";"L_Radial_D8.7mm_P5.00mm_Fastron_07HCP";1;"33uH";;;
17;"Q1, Q2, Q3, Q4";"SOT-23";4;"2N7002";;;
18;"Q5, Q6";"TO-92_Inline";2;"2N3904";;;
19;"R1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"6.8k";;;
20;"R2";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"3.3k";;;
21;"R3, R8";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"100k";;;
22;"R4";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"4.7k";;;
23;"R5, R7, R10, R12";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";4;"10k";;;
24;"R6";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"14.2k";;;
25;"R9";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"8.4k";;;
26;"R11";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"5.2k";;;
27;"R13";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"2.6k";;;
28;"R14, R16, R22";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"2.2k";;;
29;"R15, R20";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"3k";;;
30;"R17";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"2.8k";;;
31;"R18";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"1k 1%";;;
32;"R19";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"10 1%";;;
33;"R21";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"56k";;;
34;"R23";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"100";;;
35;"TP1";"TestPoint_2Pads_Pitch5.08mm_Drill1.3mm";1;"DUT";;;
36;"U1";"SOT-223-3_TabPin2";1;"AMS1117-5";;;
37;"U2";"SOIC-8_3.9x4.9mm_P1.27mm";1;"XL6007";;;
38;"U3";"MODULE_RP2040-ZERO";1;"RP2040-ZERO";;;
39;"U4";"SOT-23-5";1;"AD8605";;;
