Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","Battery 2s","PinSocket_1x02_P2.54mm_Vertical",39.525000,-67.250000,0.000000,top
"C1","0.1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",131.475000,-94.360000,90.000000,top
"C2","0.1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",39.750000,-85.750000,0.000000,top
"C3","1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",38.500000,-108.000000,-90.000000,top
"C4","0.1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",44.750000,-86.000000,0.000000,top
"C5","1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",51.000000,-108.000000,-90.000000,top
"C6","16v 47u","CP_Radial_D6.3mm_P2.50mm",49.500000,-64.000000,0.000000,top
"C7","0.1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",54.500000,-68.000000,0.000000,top
"C8","100v 4.7u","CP_Radial_D5.0mm_P2.50mm",72.294888,-62.500000,0.000000,top
"C9","0.1u","C_Rect_L7.0mm_W2.5mm_P5.00mm",76.900000,-66.500000,0.000000,top
"C10","0.1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",124.962500,-86.000000,0.000000,top
"C11","0.1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",131.500000,-79.000000,90.000000,top
"C12","0.22u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",123.475000,-100.860000,90.000000,top
"D1","BAT46W","D_SOD-123",41.000000,-81.500000,180.000000,top
"D2","BAT46W","D_SOD-123",41.000000,-79.000000,180.000000,top
"D3","BAT46W","D_SOD-123",73.000000,-69.000000,180.000000,top
"D4","1n4148","D_DO-35_SOD27_P7.62mm_Horizontal",86.000000,-62.190000,-90.000000,top
"D5","RED","LED_D3.0mm",103.770000,-74.000000,180.000000,top
"D6","1n4148","D_DO-35_SOD27_P7.62mm_Horizontal",111.000000,-62.000000,-90.000000,top
"D7","BAT46W","D_SOD-123",129.000000,-78.500000,90.000000,top
"F1","200mA","Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder",44.000000,-67.000000,0.000000,top
"J1","Encoder","PinSocket_1x05_P2.54mm_Vertical",70.500000,-90.460000,0.000000,top
"J2","LCD","PinSocket_1x04_P2.54mm_Vertical",134.475000,-93.320000,0.000000,top
"J3","ADS1115 ADC","PinSocket_1x10_P2.54mm_Vertical",126.475000,-117.400000,180.000000,top
"K1","Relay_SPDT","Relay_SPDT_18.4x10.2",89.300000,-69.620000,0.000000,top
"K2","Relay_SPDT","Relay_SPDT_18.4x10.2",114.202500,-69.757500,0.000000,top
"L1","33uH","L_Radial_D8.7mm_P5.00mm_Fastron_07HCP",66.500000,-63.000000,-90.000000,top
"Q1","2N7002","SOT-23",52.500000,-81.000000,90.000000,top
"Q2","2N7002","SOT-23",56.000000,-81.000000,90.000000,top
"Q3","2N7002","SOT-23",59.500000,-81.000000,90.000000,top
"Q4","2N7002","SOT-23",63.050000,-81.062500,90.000000,top
"Q5","2N3904","TO-92_Inline",86.230000,-74.500000,0.000000,top
"Q6","2N3904","TO-92_Inline",111.460000,-74.500000,0.000000,top
"R1","6.8k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",39.000000,-73.500000,-90.000000,top
"R2","3.3k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",39.750000,-83.750000,0.000000,top
"R3","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",41.500000,-76.500000,180.000000,top
"R4","4.7k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",44.750000,-84.000000,0.000000,top
"R5","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",52.300000,-85.000000,-90.000000,top
"R6","14.2k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",52.500000,-77.000000,-90.000000,top
"R7","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",55.400000,-85.000000,-90.000000,top
"R8","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",60.000000,-70.000000,180.000000,top
"R9","8.4k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",56.000000,-77.000000,-90.000000,top
"R10","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",58.500000,-85.000000,-90.000000,top
"R11","5.2k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",59.500000,-77.000000,-90.000000,top
"R12","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",61.600000,-85.000000,-90.000000,top
"R13","2.6k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",63.000000,-77.000000,-90.000000,top
"R14","2.2k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",77.500000,-73.500000,-90.000000,top
"R15","3k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",106.000000,-74.000000,-90.000000,top
"R16","2.2k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",87.500000,-78.000000,180.000000,top
"R17","2.8k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",125.000000,-84.000000,0.000000,top
"R18","1k 1%","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",129.500000,-73.500000,-90.000000,top
"R19","10 1%","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",125.500000,-73.500000,-90.000000,top
"R20","3k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",132.500000,-83.000000,90.000000,top
"R21","56k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",129.000000,-86.000000,180.000000,top
"R22","2.2k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",112.500000,-79.000000,180.000000,top
"R23","100","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",126.500000,-89.000000,180.000000,top
"U1","AMS1117-5","SOT-223-3_TabPin2",45.000000,-110.000000,0.000000,top
"U2","XL6007","SOIC-8_3.9x4.9mm_P1.27mm",58.000000,-64.000000,0.000000,top
"U3","RP2040-ZERO","MODULE_RP2040-ZERO",50.500000,-96.500000,90.000000,top
"U4","AD8605","SOT-23-5",129.100000,-83.050000,0.000000,top
