"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"Q1";"TO-92_Inline";1;"BC547";;;
2;"F1";"Fuse_2920_7451Metric_Pad2.10x5.45mm_HandSolder";1;"500 mA";;;
3;"C1";"CP_Radial_D10.0mm_P5.00mm";1;"100 uF";;;
4;"L1";"L_6.3x6.3_H3";1;"47 uH";;;
5;"PS1";"Converter_DCDC_XP_POWER-IA48xxD_THT";1;"IA4805D";;;
6;"J1";"BarrelJack_GCT_DCJ200-10-A_Horizontal";1;"Jack-DC";;;
7;"R1";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";1;"220k";;;
8;"R3";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";1;"75";;;
9;"D1";"D_SMB";1;"SMBJ58A";;;
10;"R2";"R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal";1;"3.3k";;;
11;"C2";"C_0603_1608Metric";1;"0.1 uF";;;
12;"BZ1";"Buzzer_D30mm_H20mm_P15mm__668-1652-ND__AI-3035-TT-12V-R";1;"Buzzer";;;
