"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"BT1";"BAT_1096";1;"1096";;;
2;"C1, C2, C3";"C_0603_1608Metric";3;"2.2uF@16v";;;
3;"C4, C5, C6";"C_0402_1005Metric";3;"100nF@16v";;;
4;"D1";"LED_0402_1005Metric";1;"LED";;;
5;"J1";"PinSocket_1x07_P2.54mm_Vertical_SMD_Pin1Left";1;"Upper MCU Socket";;;
6;"J2";"PinSocket_1x07_P2.54mm_Vertical_SMD_Pin1Right";1;"Lower MCU Socket";;;
7;"J3";"PinSocket_1x07_P2.54mm_Vertical_SMD_Pin1Right";1;"Sensor Socket";;;
8;"J5";"PinSocket_1x05_P2.54mm_Vertical_SMD_Pin1Left";1;"5-pin Socket";;;
9;"Q1";"SOT-23";1;"AO3401A";;;
10;"R1";"R_0402_1005Metric";1;"1.2k";;;
11;"R2, R9, R10";"R_0402_1005Metric";3;"10k";;;
12;"R3, R8";"R_0402_1005Metric";2;"2.2k";;;
13;"R4";"R_0402_1005Metric";1;"330";;;
14;"R5, R6, R11, R12";"R_0402_1005Metric";4;"5.1M";;;
15;"R7";"R_0402_1005Metric";1;"100k";;;
16;"U2";"SOT-23-6";1;"BQ21040DBV";;;
17;"U4";"SOT-23-5";1;"TPS7A0533PDBV";;;
18;"U5";"WSON-6_1.5x1.5mm_P0.5mm";1;"BQ29700";;;
19;"U6";"CSD85301Q2";1;"CSD85301Q2";;;
20;"U7";"Sensirion_DFN-4-1EP_2x2mm_P1mm_EP0.7x1.6mm";1;"SHTC3";;;
