Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","1096","BAT_1096",135.000000,-83.500000,90.000000,bottom
"C1","2.2uF@16v","C_0603_1608Metric",143.775000,-85.000000,0.000000,top
"C2","2.2uF@16v","C_0603_1608Metric",141.000000,-80.000000,0.000000,top
"C3","2.2uF@16v","C_0603_1608Metric",129.725000,-85.000000,180.000000,top
"C4","100nF@16v","C_0402_1005Metric",133.460000,-68.490000,-90.000000,top
"C5","100nF@16v","C_0402_1005Metric",125.450000,-107.500000,0.000000,top
"C6","100nF@16v","C_0402_1005Metric",138.800000,-70.400000,0.000000,top
"D1","LED","LED_0402_1005Metric",137.500000,-81.500000,180.000000,top
"J1","Upper MCU Socket","PinSocket_1x07_P2.54mm_Vertical_SMD_Pin1Left",135.960000,-74.110000,-90.000000,top
"J2","Lower MCU Socket","PinSocket_1x07_P2.54mm_Vertical_SMD_Pin1Right",135.960000,-89.350000,90.000000,top
"J3","Sensor Socket","PinSocket_1x07_P2.54mm_Vertical_SMD_Pin1Right",135.880000,-58.850000,90.000000,top
"J5","5-pin Socket","PinSocket_1x05_P2.54mm_Vertical_SMD_Pin1Left",136.500000,-96.000000,90.000000,top
"Q1","AO3401A","SOT-23",142.062500,-101.050000,180.000000,top
"R1","1.2k","R_0402_1005Metric",137.500000,-84.500000,180.000000,top
"R2","10k","R_0402_1005Metric",143.000000,-81.000000,90.000000,top
"R3","2.2k","R_0402_1005Metric",131.460000,-66.000000,180.000000,top
"R4","330","R_0402_1005Metric",133.460000,-66.490000,90.000000,top
"R5","5.1M","R_0402_1005Metric",129.460000,-66.500000,90.000000,top
"R6","5.1M","R_0402_1005Metric",130.960000,-70.000000,90.000000,top
"R7","100k","R_0402_1005Metric",145.000000,-101.100000,90.000000,top
"R8","2.2k","R_0402_1005Metric",138.000000,-80.500000,0.000000,top
"R9","10k","R_0402_1005Metric",133.000000,-100.200000,0.000000,top
"R10","10k","R_0402_1005Metric",145.900000,-57.700000,-90.000000,top
"R11","5.1M","R_0402_1005Metric",138.800000,-68.400000,0.000000,top
"R12","5.1M","R_0402_1005Metric",138.800000,-69.400000,0.000000,top
"U2","BQ21040DBV","SOT-23-6",140.500000,-83.000000,-90.000000,top
"U4","TPS7A0533PDBV","SOT-23-5",132.000000,-82.500000,180.000000,top
"U5","BQ29700","WSON-6_1.5x1.5mm_P0.5mm",131.425000,-67.735000,0.000000,top
"U6","CSD85301Q2","CSD85301Q2",128.960000,-69.500000,180.000000,top
"U7","SHTC3","Sensirion_DFN-4-1EP_2x2mm_P1mm_EP0.7x1.6mm",125.950000,-109.500000,90.000000,top
